Date ,Open ,High ,Low ,Close ,Daily Return
12-Apr-16,15809.1,15958.8,15794.15,15880.2,0.390049625
13-Apr-16,16087.95,16349.7,16080.55,16278.55,2.508469667
18-Apr-16,16328.7,16330.55,16011.9,16222.7,-0.343089526
20-Apr-16,16299.5,16386.35,16160.55,16349.7,0.782853656
21-Apr-16,16526.55,16769.55,16526.55,16637.15,1.758136235
22-Apr-16,16641.05,16755.85,16549.1,16703.4,0.398205221
25-Apr-16,16746.95,16767.9,16605,16678.65,-0.148173426
26-Apr-16,16647.75,17029.85,16572,17002.55,1.942003699
27-Apr-16,16869.35,16995,16827.35,16872.95,-0.762238605
28-Apr-16,16885.8,17023.35,16692.7,16716.9,-0.924853093
29-Apr-16,16712.95,16841.3,16527.55,16795,0.467191884
02-May-16,16614,16674.15,16519.55,16543,-1.500446561
03-May-16,16570.75,16719.4,16358.4,16388.7,-0.932720788
04-May-16,16320.1,16465.6,16250.5,16274.25,-0.698347032
05-May-16,16292.4,16398.25,16193.7,16281,0.041476566
06-May-16,16264.45,16346.25,16186.25,16296.6,0.09581721
09-May-16,16357,16712.9,16357,16686.1,2.390069094
10-May-16,16710.05,16812.2,16613.9,16784.95,0.592409251
11-May-16,16544.25,16861.95,16518.75,16754.45,-0.181710401
12-May-16,16881.25,16962,16779.5,16923.7,1.010179385
13-May-16,16891.7,16891.7,16594.55,16716.9,-1.22195501
16-May-16,16744.15,16780.05,16431.65,16737.55,0.123527688
17-May-16,16818.4,16903.35,16738.7,16762.75,0.15055967
18-May-16,16671.7,16759.05,16556.6,16728.95,-0.201637559
19-May-16,16725.45,16726.15,16535.75,16565.25,-0.978543184
20-May-16,16600.8,16623.2,16455.4,16481.45,-0.505878269
23-May-16,16560.15,16604.15,16368,16407.55,-0.448382879
24-May-16,16422.35,16501.05,16368.6,16456.65,0.299252478
25-May-16,16600.65,17025.85,16599.05,16997.45,3.286209526
26-May-16,17037.6,17424.05,16971.35,17359.3,2.128848739
27-May-16,17348.35,17543.3,17327.65,17511.8,0.878491644
30-May-16,17580.85,17666.05,17484.8,17520.65,0.050537352
15-Jun-16,17746.05,17943.65,17659.6,17917.9,0
16-Jun-16,17827.6,17827.6,17545.8,17671.3,-1.376277354
17-Jun-16,17772.3,17843.15,17590.75,17696.05,0.140057608
20-Jun-16,17425.8,17779,17425.8,17718.6,0.127429568
21-Jun-16,17761.65,17763.3,17585.65,17619.1,-0.561556782
22-Jun-16,17610.1,17755.25,17518.15,17626.05,0.039445829
23-Jun-16,17630.8,17907.5,17611,17892.45,1.511399321
24-Jun-16,17213.85,17459.2,16946.35,17426.05,-2.60668606
27-Jun-16,17346.3,17611.2,17346.3,17514.95,0.510155773
28-Jun-16,17497,17626.7,17481.5,17561.55,0.266058424
29-Jun-16,17643.65,17728.95,17580.5,17689.9,0.730858039
30-Jun-16,17825.3,17975.05,17795.9,17935.4,1.387797557
01-Jul-16,18019.7,18074.95,17955.3,17985.65,0.280172173
04-Jul-16,18091.75,18146.35,18054.8,18097.65,0.622718667
05-Jul-16,18122.4,18124.1,17989.6,18004.25,-0.516089105
07-Jul-16,18036.3,18146.55,17997.1,18084.9,0.44794979
08-Jul-16,18078.05,18079.2,17910.9,18016.25,-0.37959845
11-Jul-16,18268.15,18409.45,18243.3,18390.95,2.079789079
12-Jul-16,18527.85,18684.45,18464.15,18667.6,1.504272482
13-Jul-16,18704.9,18711.6,18546.25,18618.95,-0.260611969
14-Jul-16,18633.5,18880.9,18580.2,18863.75,1.314789502
15-Jul-16,18887.9,19016.1,18772.45,18953.65,0.476575442
18-Jul-16,18998.3,19158,18885,18923.4,-0.159599866
19-Jul-16,18970.15,19030.05,18833.6,18905.15,-0.096441443
20-Jul-16,18896.8,19016.25,18886.3,18968.2,0.333507007
21-Jul-16,18967.4,19000.3,18644.55,18674.3,-1.549435371
22-Jul-16,18697.8,18735.4,18551.3,18690.4,0.086214744
25-Jul-16,18594.95,19035.35,18572.1,18989.6,1.600821812
26-Jul-16,18979.1,19044.45,18814.25,18860.85,-0.678002696
27-Jul-16,18908.45,19125,18882.4,19021.95,0.854150264
28-Jul-16,19050.4,19126.75,18998.8,19076.55,0.287036818
29-Jul-16,19047.05,19070.15,18912.6,18953.15,-0.646867489
01-Aug-16,18896.5,19078.5,18634.4,18740.6,-1.121449469
02-Aug-16,18783.6,18866.55,18671.85,18708.25,-0.172619873
17-Aug-16,19044.55,19138.35,18966.35,19041.25,0
18-Aug-16,19087.2,19367.45,19083,19352.8,1.636184599
19-Aug-16,19419,19457.4,19327.2,19414.7,0.319850358
22-Aug-16,19432.6,19493.2,19252.75,19330.25,-0.43497968
23-Aug-16,19311.9,19372.65,19246.9,19341.65,0.058974923
24-Aug-16,19358.7,19392.2,19284.35,19355.6,0.072124147
25-Aug-16,19383.7,19432.75,19282.8,19304.25,-0.265297898
26-Aug-16,19336.45,19358,19133.9,19195.75,-0.562052398
29-Aug-16,19174.45,19247.85,19096.7,19217,0.110701588
30-Aug-16,19306.5,19546.35,19306.5,19531.55,1.636831972
31-Aug-16,19595.9,19823.4,19595.9,19787.6,1.310955864
01-Sep-16,19805.8,19928.2,19738.3,19788.85,0.006317087
